label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2,0,1,2,0,19,261,161,2209,3710,935,832,7907,982,10730,12249
1,0,0,0,1,0,1,3,6,14,13,410,85,93,2430,14645,22299
1,3,2,1,0,0,9,54,68,506,271,47,2391,5066,8394,10965,12223
1,2,1,0,2,2,14,79,799,2166,619,5133,760,7574,1070,10389,11390
1,3,1,1,1,3,0,4,6,3,135,200,1874,771,6384,9852,20762
1,1,3,2,0,3,10,1,196,182,1541,407,181,495,4653,9689,22636
1,2,0,1,0,1,0,1,7,37,301,292,2344,4482,1459,10654,20419
1,1,4,0,1,0,0,19,205,94,57,425,1383,435,5270,9828,22278
1,5,0,0,0,1,11,120,153,1609,419,302,4215,978,922,9710,21555
1,1,0,0,1,7,32,614,2684,5260,8017,759,578,3615,6487,1270,10675
1,5,1,0,0,0,0,3,2,4,231,143,1218,383,5108,9680,23222
1,0,2,0,0,0,3,20,22,646,1775,346,4143,804,2330,6966,22943
1,4,0,0,1,0,0,0,0,11,582,1758,561,4995,9132,9454,13502
1,2,0,0,0,0,4,14,24,267,122,168,92,2262,5304,10319,21422
1,2,0,2,0,1,0,0,0,2,4,203,108,78,2255,14827,22518
1,2,2,1,48,607,1441,438,423,173,3939,1057,752,293,3184,7757,19883
1,1,1,3,0,0,0,0,0,19,696,2382,4211,776,716,9788,21407
1,5,0,0,1,1,35,329,201,1950,581,983,3789,549,741,9419,21416
1,4,0,0,0,1,0,6,4,18,312,328,2155,462,6099,9795,20816
1,5,0,0,0,0,2,4,0,11,3,1,163,249,2208,15431,21923
1,2,2,0,1,21,147,168,67,14,1092,430,482,132,5513,9739,22190
1,2,3,0,0,0,0,2,3,3,1,8,129,213,5156,12349,22131
1,2,0,0,0,0,3,0,0,7,6,90,233,2214,6313,10187,20945
1,3,1,1,1,0,0,0,2,10,8,14,130,184,2766,15217,21663
1,2,1,4,82,489,241,62,1973,713,5642,7672,637,292,203,10811,11176
1,0,3,1,0,1,0,1,1,20,264,232,1385,983,5471,10540,21098
1,0,3,0,2,0,0,10,240,135,5,1323,449,4037,788,9360,23648
1,0,2,0,0,1,1,1,3,22,41,257,276,2867,6461,10128,19940
1,3,0,0,2,0,0,1,0,0,1,32,447,2461,5911,9783,21359
1,2,0,1,0,0,2,52,413,379,478,1456,499,4912,8214,10948,12644
1,2,3,0,0,0,38,668,2581,4603,1533,315,6992,1494,1238,9999,10534
1,2,1,0,0,1,5,5,8,156,138,1397,647,4210,1345,9199,22886
1,1,2,0,0,2,5,17,179,290,1321,669,2804,837,888,9099,23886
1,0,2,1,2,0,1,3,12,3,176,253,2143,3849,1571,10071,21913
1,3,0,2,0,0,0,0,0,0,9,362,147,77,3561,14056,21783
1,2,1,0,1,1,1,0,0,0,59,849,2363,4981,8126,10349,13267
1,5,0,0,0,0,2,3,7,210,222,1641,409,3980,934,9280,23307
1,4,0,1,0,0,0,2,28,273,235,1788,703,4744,1546,10055,20621
1,2,2,1,0,0,8,16,308,174,155,1707,4533,554,233,9608,22699
1,3,2,0,1,2,4,10,207,116,1497,359,191,344,5258,10703,21303
1,3,2,0,0,0,1,1,1,0,7,6,109,164,3629,14478,21599
1,3,1,0,1,0,0,0,4,15,633,3210,578,3882,1179,10220,20274
1,0,0,2,0,1,2,57,824,542,1834,4191,717,6750,1153,10907,13020
1,3,1,1,0,0,0,0,5,19,164,1264,452,4532,1186,10468,21905
1,1,1,0,1,4,20,682,409,1302,650,54,812,3580,813,9068,22603
1,2,0,0,1,2,0,1,3,14,383,1530,408,4740,8815,11630,12471
1,3,1,1,0,0,0,4,15,20,340,240,2512,4743,1417,9920,20784
